StdFirst;SqlStdExecTime;SqlXExecTime;NRows;SleepTime
1;1994400;2995900;1000;2
0;1995200;2738100;1000;2
0;997500;1992300;1000;2
0;7019500;11979500;1000;2
0;3990400;1994200;1000;2
1;1992300;2991900;1000;2
1;1997200;1994200;1000;2
0;4989400;3771000;1000;2
0;3989300;2852800;1000;2
0;1992900;7771600;1000;2
0;5976200;5728800;1000;2
0;7987700;9784000;1000;2
0;4944100;7862100;1000;2
1;5989200;7973000;1000;2
0;5972600;9685200;1000;2
0;4991500;4722200;1000;2
0;1988800;1751600;1000;2
1;9800600;5975800;1000;2
1;9015100;5946300;1000;2
0;3948800;11007200;1000;2
0;5997200;5983300;1000;2
1;2006600;1985500;1000;2
0;3991200;3718500;1000;2
1;6928600;5985200;1000;2
1;5950200;4981600;1000;2
1;6711200;5981000;1000;2
0;4952600;6874100;1000;2
0;3953500;5430700;1000;2
1;9775100;3985200;1000;2
1;6778000;7981200;1000;2
0;7971400;7980400;1000;2
1;5992200;6034700;1000;2
0;5980700;11384100;1000;2
1;9706100;4957900;1000;2
0;1954200;6457100;1000;2
0;6989100;5860000;1000;2
1;5813800;5980900;1000;2
1;4809100;6980100;1000;2
0;4986300;7986600;1000;2
0;6929800;10443800;1000;2
1;8983800;8011500;1000;2
0;4986700;5980300;1000;2
0;2990700;3956600;1000;2
1;2991400;2994800;1000;2
0;2991500;1994500;1000;2
1;1994200;1994400;1000;2
0;2957800;2028700;1000;2
1;2993300;2990900;1000;2
0;1992600;1961000;1000;2
1;2990400;1995100;1000;2
0;2992400;2986000;1000;2
0;2990000;1940000;1000;2
1;1993600;3990600;1000;2
0;5984500;5953100;1000;2
0;1994800;1985300;1000;2
1;2784700;1994000;1000;2
1;1763900;1931000;1000;2
1;1698300;1976600;1000;2
1;1758600;1993300;1000;2
0;996600;1997500;1000;2
0;1995600;1723100;1000;2
1;2038100;2697500;1000;2
1;1651700;1994100;1000;2
1;1656300;1995700;1000;2
1;1742700;1999400;1000;2
0;1993800;1647700;1000;2
0;2990600;1627400;1000;2
1;3737300;2990200;1000;2
1;2000800;2992500;1000;2
0;8023100;9983900;1000;2
1;3937200;3989600;1000;2
1;6774500;4983500;1000;2
1;8030100;8963800;1000;2
1;6985300;5978000;1000;2
1;4024700;2955100;1000;2
1;7764900;4988600;1000;2
0;5984100;7785900;1000;2
0;5983000;6773900;1000;2
1;7813700;5986800;1000;2
1;3910200;4019600;1000;2
0;3987500;5821200;1000;2
1;5420000;5984600;1000;2
1;4778600;3990800;1000;2
0;6980900;7766600;1000;2
1;6794600;4985900;1000;2
1;8986700;5982200;1000;2
0;4938400;10030300;1000;2
0;4943000;11748300;1000;2
1;5815400;6022700;1000;2
0;5986600;4752600;1000;2
0;2992100;2990800;1000;2
1;8976800;5985700;1000;2
0;1995500;1994200;1000;2
0;1995300;2989900;1000;2
0;1994400;1755800;1000;2
1;14959400;15957300;10000;2
0;15956500;30917300;10000;2
1;35619500;16954500;10000;2
0;16954500;25714400;10000;2
0;15957400;27923100;10000;2
1;28723300;15957100;10000;2
0;15957000;34898000;10000;2
0;23936900;37895600;10000;2
0;27926300;24578900;10000;2
0;20945400;38894300;10000;2
1;14964300;16954700;10000;2
1;35703500;16953300;10000;2
1;33605800;18949300;10000;2
1;20375800;16956000;10000;2
1;30915000;15957200;10000;2
0;18950200;35708600;10000;2
1;38711400;17935900;10000;2
0;16948300;18953900;10000;2
1;17646400;15957300;10000;2
0;15957200;21637000;10000;2
1;17652300;16955100;10000;2
0;15957000;30911100;10000;2
0;14960100;35709800;10000;2
1;30621000;16955000;10000;2
1;32338200;16956300;10000;2
1;35690000;16954100;10000;2
0;17961800;39386200;10000;2
1;18953600;15957700;10000;2
1;20669400;23973100;10000;2
1;20909900;24932800;10000;2
0;22940500;22932000;10000;2
1;15624000;16954700;10000;2
0;16953400;17591800;10000;2
0;16954400;31793300;10000;2
1;36701800;15955300;10000;2
0;16956100;31909700;10000;2
1;38902700;20982000;10000;2
0;20942600;34904400;10000;2
0;15958900;38880400;10000;2
0;16955900;15703400;10000;2
0;15959200;19648800;10000;2
1;15601900;15955500;10000;2
1;35905300;16950900;10000;2
1;28929400;16954100;10000;2
1;24930900;15957200;10000;2
0;15957400;16953000;10000;2
1;31921000;17951600;10000;2
0;16952200;31705700;10000;2
1;26419800;17951900;10000;2
1;33895600;16955100;10000;2
0;23937400;45679300;10000;2
1;25928900;29922500;10000;2
0;15957200;15693300;10000;2
0;15958900;16575600;10000;2
0;15956600;20942500;10000;2
1;32910100;16952300;10000;2
1;29697400;16952600;10000;2
0;18949100;34684700;10000;2
1;28921800;18949700;10000;2
0;20935900;43883300;10000;2
0;16953700;16668300;10000;2
0;15957200;33667600;10000;2
0;16955000;36892300;10000;2
0;16954300;33610100;10000;2
0;16954500;33571800;10000;2
0;15957300;27928000;10000;2
1;34699200;15957600;10000;2
1;34603000;16954800;10000;2
1;30728500;16954600;10000;2
1;19742500;15957400;10000;2
1;28715900;18949100;10000;2
1;43874000;21940600;10000;2
1;26890900;22936600;10000;2
1;15684900;15957300;10000;2
1;15960400;16954800;10000;2
0;17952000;34620900;10000;2
0;20908500;44610400;10000;2
0;16955900;34904100;10000;2
0;15957200;29915100;10000;2
1;18660900;17953200;10000;2
0;15957400;39904400;10000;2
0;15957100;16954000;10000;2
0;16955600;14962700;10000;2
0;15957200;23681700;10000;2
1;41675900;16954700;10000;2
0;16954700;33905800;10000;2
1;30911600;18949200;10000;2
0;15957400;17596200;10000;2
0;16954800;33767900;10000;2
1;37607900;15957300;10000;2
1;29926600;15955400;10000;2
0;18947500;34659100;10000;2
1;27870000;21941900;10000;2
0;26924300;25897600;10000;2
0;15957300;16952900;10000;2
1;156581400;199464800;100000;2
1;185312900;171542300;100000;2
0;159573100;190498200;100000;2
0;169547700;204970400;100000;2
1;176535100;168550900;100000;2
0;164560200;182462800;100000;2
1;217119700;158574700;100000;2
0;163563100;181266100;100000;2
0;175531000;184273800;100000;2
0;164559000;184236600;100000;2
0;158581000;199475000;100000;2
1;178264400;200462800;100000;2
0;162565300;166554200;100000;2
1;178478100;165557100;100000;2
1;166555200;199466500;100000;2
