StdFirst;SqlStdExecTime;SqlXExecTime;NRows;SleepTime
1;3989400;4986700;1000;2
0;8929100;15962000;1000;2
0;7976900;13948100;1000;2
0;7978600;15955100;1000;2
0;7977100;16955700;1000;2
1;19726800;7977900;1000;2
1;17646600;7978400;1000;2
0;6978300;17741500;1000;2
0;8972800;16732300;1000;2
0;7977200;13969900;1000;2
0;6983300;8727900;1000;2
0;8975600;19945300;1000;2
0;5985400;10912300;1000;2
1;4744900;3989100;1000;2
0;4986700;4644700;1000;2
0;4985800;4642000;1000;2
0;3988200;4738700;1000;2
1;4757700;3989300;1000;2
1;4644800;4986900;1000;2
0;3987800;4990700;1000;2
0;7978300;6629100;1000;2
1;12765200;10949200;1000;2
0;6965800;11978800;1000;2
1;18657600;7977900;1000;2
1;15733700;7978100;1000;2
1;12677000;9970000;1000;2
0;8975500;17767700;1000;2
0;8977600;16604700;1000;2
1;14968700;8975200;1000;2
1;15756400;9970200;1000;2
0;8047800;19720900;1000;2
1;18367800;7978100;1000;2
0;4986600;7740900;1000;2
1;18996500;11929500;1000;2
0;7978500;8941800;1000;2
0;7979100;4985200;1000;2
1;7977200;6979800;1000;2
1;4717700;6986200;1000;2
0;8086800;7940700;1000;2
0;5980500;5740000;1000;2
1;5987700;3988500;1000;2
0;4987600;4989200;1000;2
0;4986700;4607500;1000;2
1;4991300;4986300;1000;2
0;8976400;9738700;1000;2
1;8977400;7976200;1000;2
0;7981500;21649500;1000;2
1;14968800;7977700;1000;2
0;8978800;19943500;1000;2
1;11768500;7977400;1000;2
0;6979200;10962300;1000;2
0;7002000;13792600;1000;2
1;16674400;10966500;1000;2
0;9974700;21702200;1000;2
0;7977800;17662300;1000;2
1;19438100;11967800;1000;2
1;16653100;8971400;1000;2
1;18374700;9979900;1000;2
1;18656100;7975700;1000;2
0;13955700;16745000;1000;2
0;9973700;14957500;1000;2
1;10935900;6987900;1000;2
1;4629800;4986000;1000;2
1;3670200;4986800;1000;2
1;3692300;4986900;1000;2
0;3989000;4989100;1000;2
0;4988000;4618000;1000;2
1;9742800;7978300;1000;2
1;17729300;9964200;1000;2
0;6981100;10904800;1000;2
1;16900400;7977800;1000;2
1;6727000;6980500;1000;2
1;19656700;8972900;1000;2
1;13772900;9973700;1000;2
1;13396000;8972800;1000;2
1;17662300;8986300;1000;2
0;8977700;16383500;1000;2
0;7978000;14666100;1000;2
1;14397300;7976900;1000;2
1;15681100;8974700;1000;2
0;9972500;25740300;1000;2
1;5947700;4986500;1000;2
1;8312800;7976800;1000;2
0;7977700;7943300;1000;2
1;8978300;7971800;1000;2
1;9118000;4779500;1000;2
0;6978800;8977600;1000;2
0;4987400;3981600;1000;2
1;4639600;4987800;1000;2
0;4987300;3740500;1000;2
0;4986500;3797800;1000;2
1;10968800;10972800;1000;2
0;8975800;10768000;1000;2
